"record_id","landcover_class","landcover"
905988587,"6","mixed forest"
905992285,"6","mixed forest"
905992924,"6","mixed forest"
905992956,"6","mixed forest"
905992957,"6","mixed forest"
905993719,"6","mixed forest"
905993780,"6","mixed forest"
905993853,"6","mixed forest"
905998169,"6","mixed forest"
905999656,"6","mixed forest"
906001300,"6","mixed forest"
906010049,"6","mixed forest"
906010050,"6","mixed forest"
906021294,"6","mixed forest"
906026040,"6","mixed forest"
906026335,"6","mixed forest"
906026897,"6","mixed forest"
906029661,"6","mixed forest"
906031121,"6","mixed forest"
906031192,"5","broadleaf"
906032416,"5","broadleaf"
906032434,"6","mixed forest"
906033099,"6","mixed forest"
906033549,"6","mixed forest"
906034690,"1","needleleaf"
906036162,"6","mixed forest"
906037064,"1","needleleaf"
906037065,"1","needleleaf"
906037220,"5","broadleaf"
906037244,"5","broadleaf"
906037432,"1","needleleaf"
906037433,"1","needleleaf"
906037434,"6","mixed forest"
906037435,"6","mixed forest"
906037587,"6","mixed forest"
906037588,"6","mixed forest"
906037722,"1","needleleaf"
906037957,"1","needleleaf"
906037958,"1","needleleaf"
906038309,"6","mixed forest"
906038310,"1","needleleaf"
906038340,"1","needleleaf"
906038646,"1","needleleaf"
906038647,"1","needleleaf"
906039027,"1","needleleaf"
906039088,"1","needleleaf"
906039104,"6","mixed forest"
906039325,"1","needleleaf"
906039439,"1","needleleaf"
906039576,"6","mixed forest"
906039577,"1","needleleaf"
906039598,"1","needleleaf"
906039599,"1","needleleaf"
906039669,"1","needleleaf"
906039670,"1","needleleaf"
906039770,"1","needleleaf"
906039771,"8","shrubland"
906039802,"6","mixed forest"
906039803,"6","mixed forest"
906039804,"1","needleleaf"
906039805,"1","needleleaf"
906039806,"1","needleleaf"
906039807,"1","needleleaf"
906039808,"1","needleleaf"
906039809,"1","needleleaf"
906039856,"1","needleleaf"
906039857,"1","needleleaf"
906040219,"1","needleleaf"
906040221,"1","needleleaf"
906040222,"8","shrubland"
906040247,"6","mixed forest"
906040282,"6","mixed forest"
906040283,"6","mixed forest"
906040284,"6","mixed forest"
906040285,"6","mixed forest"
906040327,"8","shrubland"
906040342,"1","needleleaf"
906040343,"1","needleleaf"
906040344,"8","shrubland"
906040353,"5","broadleaf"
906040354,"5","broadleaf"
906040368,"1","needleleaf"
906040384,"5","broadleaf"
906040389,"6","mixed forest"
906040390,"6","mixed forest"
906040694,"6","mixed forest"
906040695,"1","needleleaf"
906040912,"6","mixed forest"
906040913,"6","mixed forest"
906041042,"6","mixed forest"
906041043,"1","needleleaf"
906041169,"1","needleleaf"
906041170,"1","needleleaf"
906041171,"5","broadleaf"
906041173,"5","broadleaf"
906041320,"1","needleleaf"
906041615,"1","needleleaf"
906041617,"6","mixed forest"
906041644,"1","needleleaf"
906042011,"6","mixed forest"
906042040,"5","broadleaf"
906042041,"5","broadleaf"
906042278,"6","mixed forest"
906042279,"6","mixed forest"
906042657,"1","needleleaf"
906043163,"5","broadleaf"
906043179,"6","mixed forest"
906043191,"6","mixed forest"
906043410,"6","mixed forest"
906043411,"6","mixed forest"
906043440,"6","mixed forest"
906043814,"1","needleleaf"
906043815,"1","needleleaf"
906043816,"8","shrubland"
906043819,"5","broadleaf"
906043837,"1","needleleaf"
906043838,"1","needleleaf"
906043852,"6","mixed forest"
906043912,"8","shrubland"
906044315,"6","mixed forest"
906044344,"6","mixed forest"
906044402,"6","mixed forest"
906044415,"6","mixed forest"
906044512,"1","needleleaf"
906044513,"1","needleleaf"
906044599,"8","shrubland"
906044673,"6","mixed forest"
906044687,"1","needleleaf"
906044789,"1","needleleaf"
906044823,"1","needleleaf"
906044824,"8","shrubland"
906044859,"8","shrubland"
906044880,"1","needleleaf"
906044950,"1","needleleaf"
906045067,"5","broadleaf"
906045070,"6","mixed forest"
906045234,"1","needleleaf"
906045235,"1","needleleaf"
906045236,"6","mixed forest"
906045322,"8","shrubland"
906045477,"6","mixed forest"
906045530,"6","mixed forest"
906045616,"1","needleleaf"
906045827,"6","mixed forest"
906045903,"6","mixed forest"
906045904,"6","mixed forest"
906045905,"6","mixed forest"
906045918,"1","needleleaf"
906046026,"1","needleleaf"
906046199,"6","mixed forest"
906046389,"6","mixed forest"
906046390,"6","mixed forest"
906046391,"6","mixed forest"
906046392,"6","mixed forest"
906046931,"1","needleleaf"
906046932,"1","needleleaf"
906047692,"6","mixed forest"
906048006,"6","mixed forest"
906048007,"6","mixed forest"
906048008,"6","mixed forest"
906048024,"6","mixed forest"
906048058,"1","needleleaf"
906048059,"1","needleleaf"
906048084,"6","mixed forest"
906048085,"6","mixed forest"
906048117,"1","needleleaf"
906048133,"6","mixed forest"
906048134,"6","mixed forest"
906049059,"6","mixed forest"
906049131,"6","mixed forest"
906049211,"6","mixed forest"
906049328,"6","mixed forest"
906049329,"1","needleleaf"
906049330,"1","needleleaf"
906051632,"6","mixed forest"
906052930,"6","mixed forest"
906058391,"6","mixed forest"
906058478,"6","mixed forest"
906058479,"1","needleleaf"
906059123,"6","mixed forest"
906059124,"6","mixed forest"
906059436,"6","mixed forest"
906059437,"5","broadleaf"
906059438,"5","broadleaf"
906059439,"5","broadleaf"
906059625,"6","mixed forest"
906059654,"5","broadleaf"
906059680,"8","shrubland"
906059681,"8","shrubland"
906059683,"5","broadleaf"
906059684,"5","broadleaf"
906059814,"8","shrubland"
906059815,"8","shrubland"
906059949,"1","needleleaf"
906059950,"1","needleleaf"
906059951,"1","needleleaf"
906060470,"1","needleleaf"
906060472,"5","broadleaf"
906060473,"5","broadleaf"
906060474,"5","broadleaf"
906060519,"8","shrubland"
906060521,"5","broadleaf"
906060522,"5","broadleaf"
906060554,"1","needleleaf"
906060555,"1","needleleaf"
906060556,"8","shrubland"
906060557,"8","shrubland"
906060778,"1","needleleaf"
906060998,"6","mixed forest"
906061192,"6","mixed forest"
906061363,"17","urban"
906061405,"5","broadleaf"
906061452,"5","broadleaf"
906061489,"17","urban"
906061534,"6","mixed forest"
906061576,"6","mixed forest"
906061833,"5","broadleaf"
906061976,"1","needleleaf"
906061999,"1","needleleaf"
906062000,"1","needleleaf"
906062001,"1","needleleaf"
906062047,"6","mixed forest"
906062048,"5","broadleaf"
906062098,"6","mixed forest"
906062099,"5","broadleaf"
906062286,"6","mixed forest"
906062301,"1","needleleaf"
906062327,"6","mixed forest"
906062328,"6","mixed forest"
906062329,"6","mixed forest"
906062351,"1","needleleaf"
906062419,"6","mixed forest"
906062443,"6","mixed forest"
906062444,"1","needleleaf"
906062445,"1","needleleaf"
906062460,"1","needleleaf"
906062461,"1","needleleaf"
906062462,"1","needleleaf"
906062463,"1","needleleaf"
906062529,"5","broadleaf"
906062589,"1","needleleaf"
906062590,"1","needleleaf"
906062650,"5","broadleaf"
906062779,"6","mixed forest"
906062780,"1","needleleaf"
906062806,"6","mixed forest"
906062807,"1","needleleaf"
906062808,"6","mixed forest"
906063005,"1","needleleaf"
906063053,"1","needleleaf"
906063062,"5","broadleaf"
906063072,"1","needleleaf"
906063203,"5","broadleaf"
906063301,"1","needleleaf"
906063325,"5","broadleaf"
906063327,"6","mixed forest"
906063328,"6","mixed forest"
906063330,"1","needleleaf"
906063339,"6","mixed forest"
906063351,"6","mixed forest"
906063353,"6","mixed forest"
906063354,"5","broadleaf"
906063355,"5","broadleaf"
906063356,"1","needleleaf"
906063372,"1","needleleaf"
906063386,"1","needleleaf"
906063461,"8","shrubland"
906063464,"5","broadleaf"
906063552,"1","needleleaf"
