"record_id","landcover_class"
905988587,"6"
905992285,"6"
905992924,"6"
905992956,"6"
905992957,"6"
905993719,"6"
905993780,"6"
905993853,"6"
905998169,"6"
905999656,"6"
906001300,"6"
906010049,"6"
906010050,"6"
906021294,"6"
906026040,"6"
906026335,"6"
906026897,"6"
906029661,"6"
906031121,"6"
906031192,"5"
906032416,"5"
906032434,"6"
906033099,"6"
906033549,"6"
906034690,"1"
906036162,"6"
906037064,"1"
906037065,"1"
906037220,"5"
906037244,"5"
906037432,"1"
906037433,"1"
906037434,"6"
906037435,"6"
906037587,"6"
906037588,"6"
906037722,"1"
906037957,"1"
906037958,"1"
906038309,"6"
906038310,"1"
906038340,"1"
906038646,"1"
906038647,"1"
906039027,"1"
906039088,"1"
906039104,"6"
906039325,"1"
906039439,"1"
906039576,"6"
906039577,"1"
906039598,"1"
906039599,"1"
906039669,"1"
906039670,"1"
906039770,"1"
906039771,"8"
906039802,"6"
906039803,"6"
906039804,"1"
906039805,"1"
906039806,"1"
906039807,"1"
906039808,"1"
906039809,"1"
906039856,"1"
906039857,"1"
906040219,"1"
906040221,"1"
906040222,"8"
906040247,"6"
906040282,"6"
906040283,"6"
906040284,"6"
906040285,"6"
906040327,"8"
906040342,"1"
906040343,"1"
906040344,"8"
906040353,"5"
906040354,"5"
906040368,"1"
906040384,"5"
906040389,"6"
906040390,"6"
906040694,"6"
906040695,"1"
906040912,"6"
906040913,"6"
906041042,"6"
906041043,"1"
906041169,"1"
906041170,"1"
906041171,"5"
906041173,"5"
906041320,"1"
906041615,"1"
906041617,"6"
906041644,"1"
906042011,"6"
906042040,"5"
906042041,"5"
906042278,"6"
906042279,"6"
906042657,"1"
906043163,"5"
906043179,"6"
906043191,"6"
906043410,"6"
906043411,"6"
906043440,"6"
906043814,"1"
906043815,"1"
906043816,"8"
906043819,"5"
906043837,"1"
906043838,"1"
906043852,"6"
906043912,"8"
906044315,"6"
906044344,"6"
906044402,"6"
906044415,"6"
906044512,"1"
906044513,"1"
906044599,"8"
906044673,"6"
906044687,"1"
906044789,"1"
906044823,"1"
906044824,"8"
906044859,"8"
906044880,"1"
906044950,"1"
906045067,"5"
906045070,"6"
906045234,"1"
906045235,"1"
906045236,"6"
906045322,"8"
906045477,"6"
906045530,"6"
906045616,"1"
906045827,"6"
906045903,"6"
906045904,"6"
906045905,"6"
906045918,"1"
906046026,"1"
906046199,"6"
906046389,"6"
906046390,"6"
906046391,"6"
906046392,"6"
906046931,"1"
906046932,"1"
906047692,"6"
906048006,"6"
906048007,"6"
906048008,"6"
906048024,"6"
906048058,"1"
906048059,"1"
906048084,"6"
906048085,"6"
906048117,"1"
906048133,"6"
906048134,"6"
906049059,"6"
906049131,"6"
906049211,"6"
906049328,"6"
906049329,"1"
906049330,"1"
906051632,"6"
906052930,"6"
906058391,"6"
906058478,"6"
906058479,"1"
906059123,"6"
906059124,"6"
906059436,"6"
906059437,"5"
906059438,"5"
906059439,"5"
906059625,"6"
906059654,"5"
906059680,"8"
906059681,"8"
906059683,"5"
906059684,"5"
906059814,"8"
906059815,"8"
906059949,"1"
906059950,"1"
906059951,"1"
906060470,"1"
906060472,"5"
906060473,"5"
906060474,"5"
906060519,"8"
906060521,"5"
906060522,"5"
906060554,"1"
906060555,"1"
906060556,"8"
906060557,"8"
906060778,"1"
906060998,"6"
906061192,"6"
906061363,"17"
906061405,"5"
906061452,"5"
906061489,"17"
906061534,"6"
906061576,"6"
906061833,"5"
906061976,"1"
906061999,"1"
906062000,"1"
906062001,"1"
906062047,"6"
906062048,"5"
906062098,"6"
906062099,"5"
906062286,"6"
906062301,"1"
906062327,"6"
906062328,"6"
906062329,"6"
906062351,"1"
906062419,"6"
906062443,"6"
906062444,"1"
906062445,"1"
906062460,"1"
906062461,"1"
906062462,"1"
906062463,"1"
906062529,"5"
906062589,"1"
906062590,"1"
906062650,"5"
906062779,"6"
906062780,"1"
906062806,"6"
906062807,"1"
906062808,"6"
906063005,"1"
906063053,"1"
906063062,"5"
906063072,"1"
906063203,"5"
906063301,"1"
906063325,"5"
906063327,"6"
906063328,"6"
906063330,"1"
906063339,"6"
906063351,"6"
906063353,"6"
906063354,"5"
906063355,"5"
906063356,"1"
906063372,"1"
906063386,"1"
906063461,"8"
906063464,"5"
906063552,"1"
906063603,"8"
906063604,"8"
906063882,"1"
906063913,"6"
906064105,"6"
906064106,"6"
906064225,"5"
906064235,"5"
906064449,"17"
906064502,"1"
906064503,"1"
906064521,"6"
906064551,"6"
906064561,"6"
