"record_id","collection","project_id","protocol_id","protocol_type","species_id","statprov_code","country_code","SiteCode","bcr","subnational2_code","iba_site","utm_square","survey_year","survey_month","survey_week","survey_day","breeding_rank","GlobalUniqueIdentifier","CatalogNumber","Locality","TimeCollected","CollectorNumber","FieldNumber","Remarks","ProjectCode","ProtocolType","ProtocolCode","ProtocolURL","SurveyAreaIdentifier","SamplingEventIdentifier","SamplingEventStructure","RouteIdentifier","TimeObservationsStarted","TimeObservationsEnded","DurationInHours","TimeIntervalStarted","TimeIntervalEnded","TimeIntervalsAdditive","NumberOfObservers","NoObservations","ObservationCount","ObservationDescriptor","ObservationCount2","ObservationDescriptor2","ObservationCount3","ObservationDescriptor3","ObservationCount4","ObservationDescriptor4","ObservationCount5","ObservationDescriptor5","ObservationCount6","ObservationDescriptor6","AllIndividualsReported","AllSpeciesReported","date","doy","OBJECTID","BAID","PLACE_TYPE","TYPE_DE_LI","DESC_EN","DESC_FR","Public_Inf","Shape__Are","Shape__Len","scientific_name","english_name","french_name","taxon_group","geometry"
905988587,"QCATLAS2PC",1035,NA,1,18990,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-BRCH","433299-BRCH","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Melospiza melodia","Song Sparrow","Bruant chanteur","BIRDS",c(-72.968979, 46.650146)
905992285,"QCATLAS2PC",1035,NA,1,19030,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-BRGB","433299-BRGB","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Zonotrichia albicollis","White-throated Sparrow","Bruant à gorge blanche","BIRDS",c(-72.968979, 46.650146)
905992924,"QCATLAS2PC",1035,NA,1,15770,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,10,"URN:catalog:QCATLAS:QCATLAS2PC:433299-MEAM","433299-MEAM","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Turdus migratorius","American Robin","Merle d'Amérique","BIRDS",c(-72.968979, 46.650146)
905992956,"QCATLAS2PC",1035,NA,1,15590,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-GRSO","433299-GRSO","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Catharus guttatus","Hermit Thrush","Grive solitaire","BIRDS",c(-72.968979, 46.650146)
905992957,"QCATLAS2PC",1035,NA,1,16330,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,10,"URN:catalog:QCATLAS:QCATLAS2PC:433299-JAAM","433299-JAAM","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Bombycilla cedrorum","Cedar Waxwing","Jaseur d'Amérique","BIRDS",c(-72.968979, 46.650146)
905993719,"QCATLAS2PC",1035,NA,1,16540,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-PACL","433299-PACL","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Setophaga americana","Northern Parula","Paruline à collier","BIRDS",c(-72.968979, 46.650146)
905993780,"QCATLAS2PC",1035,NA,1,16480,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-PAJG","433299-PAJG","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Leiothlypis ruficapilla","Nashville Warbler","Paruline à joues grises","BIRDS",c(-72.968979, 46.650146)
905993853,"QCATLAS2PC",1035,NA,1,19010,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-BRMA","433299-BRMA","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Melospiza georgiana","Swamp Sparrow","Bruant des marais","BIRDS",c(-72.968979, 46.650146)
905998169,"QCATLAS2PC",1035,NA,1,15580,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-GRDO","433299-GRDO","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Catharus ustulatus","Swainson's Thrush","Grive à dos olive","BIRDS",c(-72.968979, 46.650146)
905999656,"QCATLAS2PC",1035,NA,1,18770,"QC","CA","18XS56-6",12,"CA.QC.CM","N/A","18TXS56",2014,6,4,26,20,"URN:catalog:QCATLAS:QCATLAS2PC:433299-BRFM","433299-BRFM","Atlas Square 18XS56","6.08333","33",NA,NA,"QCATLAS2","Point Count","PointCount","https://www.bsc-eoc.org/norac/atlascont.htm","18XS56-6","433299",NA,"18XS56","6.08333","6.16667","0.08333333","6.08333",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2014-06-26,177,21,100257,"National Park","Parc National","La Mauricie National Park of Canada","Parc national du Canada de la Mauricie",1,1144405238.12109,209825.80071201,"Spizella passerina","Chipping Sparrow","Bruant familier","BIRDS",c(-72.968979, 46.650146)
